scheme_name,amc,scheme_type,scheme_sub_type,trail_brokerage_incl_gst,amc_normalised
Aditya Birla Sun Life Multi-Cap Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Multi Cap Fund,1.1,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Mutual Fund Dividend Yield Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Dividend Yield Fund,1.43,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Index / ETF,0.45,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Nifty 50 Index Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Index / ETF,0.22,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Nifty India Defence Index Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Index / ETF,0.57,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Nifty Midcap 150 Index Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Index / ETF,0.34,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Nifty Next 50 Index Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Index / ETF,0.4,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.28,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60-40 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.18,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Medium to Long Duration Fund,0.27,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Index / ETF,0.4,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Overnight Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Overnight Fund,0.09,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life PSU Equity Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,0.97,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Pharma & Healthcare Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Sectoral Fund,1.62,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Quant Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.26,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Regular Savings Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Conservative Hybrid Fund,1.11,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Retirement Fund - The 30s Plan,Aditya Birla Sunlife Mutual Fund,EQUITY,Multi Cap Fund,1.7,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Retirement Fund - The 40s Plan,Aditya Birla Sunlife Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.69,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Retirement Fund - The 50s Plan,Aditya Birla Sunlife Mutual Fund,DEBT,Conservative Hybrid Fund,1.19,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan,Aditya Birla Sunlife Mutual Fund,DEBT,Corporate Bond Fund,1.44,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Savings Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Ultra Short Duration Fund,0.29,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Short Term Fund,Aditya Birla Sunlife Mutual Fund,DEBT,Short Duration Fund,0.58,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Silver ETF Fund of Fund,Aditya Birla Sunlife Mutual Fund,OTHERS,Silver Plan,0.38,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Small Cap Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Small Cap Fund,1.16,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Special Opportunities Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.64,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Transportation and Logistics Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Thematic Fund,1.39,Aditya Birla Sunlife Mutual Fund
Aditya Birla Sun Life Value Fund,Aditya Birla Sunlife Mutual Fund,EQUITY,Value Fund,1.07,Aditya Birla Sunlife Mutual Fund
Altiva Hybrid Long-Short Fund,Altiva SIF,HYBRID,Hybrid Long-Short Fund,0.84,Altiva SIF
Angel One Gold ETF FOF,Angel One Mutual Fund,OTHERS,GOLD PLAN,0.25,Angel One Mutual Fund
Angel One Nifty 50 Index Fund,Angel One Mutual Fund,EQUITY,Index / ETF,0.25,Angel One Mutual Fund
Angel One Nifty Total Market Index Fund,Angel One Mutual Fund,EQUITY,Index / ETF,0.44,Angel One Mutual Fund
Angel One Nifty Total Market Momentum Quality 50 Index Fund,Angel One Mutual Fund,EQUITY,Index / ETF,0.37,Angel One Mutual Fund
Arudha Hybrid Long-Short Fund,Arudha SIF,HYBRID,Hybrid Long-Short Fund,0.38,Arudha SIF
Axis Aggressive Hybrid Fund,Axis Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.17,Axis Mutual Fund
Axis Arbitrage Fund,Axis Mutual Fund,DEBT,Arbitrage Fund,0.57,Axis Mutual Fund
Axis BSE India Sector Leaders Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.61,Axis Mutual Fund
Axis BSE Sensex Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.33,Axis Mutual Fund
Axis Balanced Advantage Fund,Axis Mutual Fund,HYBRID,Balanced Advantage Fund,1.04,Axis Mutual Fund
Axis Banking & PSU Debt Fund,Axis Mutual Fund,DEBT,Banking and PSU Debt Fund,0.27,Axis Mutual Fund
Axis Business Cycles Fund,Axis Mutual Fund,EQUITY,Thematic Fund,1.04,Axis Mutual Fund
Axis CRISIL IBX 50-50 Gilt Plus SDL Jun 2028 Index Fund,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,Axis Mutual Fund
Axis CRISIL IBX 50-50 Gilt Plus SDL September 2027 Index Fund,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.17,Axis Mutual Fund
Axis CRISIL IBX AAA Bond NBFC - Jun 2027 Index Fund,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.24,Axis Mutual Fund
Axis CRISIL IBX SDL June 2034 Debt Index Fund,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.17,Axis Mutual Fund
Axis CRISIL IBX SDL May 2027 Index Fund,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,Axis Mutual Fund
Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.08,Axis Mutual Fund
Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.08,Axis Mutual Fund
Axis CRISIL-IBX Financial Services 3-6 Months Debt Index Fund,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.11,Axis Mutual Fund
Axis Childrens Fund,Axis Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.29,Axis Mutual Fund
Axis Conservative Hybrid Fund,Axis Mutual Fund,DEBT,Conservative Hybrid Fund,1.16,Axis Mutual Fund
Axis Consumption Fund,Axis Mutual Fund,EQUITY,Thematic Fund,0.99,Axis Mutual Fund
Axis Corporate Bond Fund,Axis Mutual Fund,DEBT,Corporate Bond Fund,0.51,Axis Mutual Fund
Axis Credit Risk Fund,Axis Mutual Fund,DEBT,Credit Risk Fund,0.89,Axis Mutual Fund
Axis Dynamic Bond Fund,Axis Mutual Fund,DEBT,Dynamic Bond Fund,0.22,Axis Mutual Fund
Axis ELSS Tax Saver Fund,Axis Mutual Fund,EQUITY,ELSS,0.77,Axis Mutual Fund
Axis ESG Integration Strategy Fund,Axis Mutual Fund,EQUITY,Thematic Fund,1.23,Axis Mutual Fund
Axis Equity Savings Fund,Axis Mutual Fund,HYBRID,Equity Savings Fund,1.14,Axis Mutual Fund
Axis Flexi Cap Fund,Axis Mutual Fund,EQUITY,Flexi Cap Fund,0.91,Axis Mutual Fund
Axis Floater Fund,Axis Mutual Fund,DEBT,Floater Fund,0.2,Axis Mutual Fund
Axis Focused Fund,Axis Mutual Fund,EQUITY,Focused Fund,0.86,Axis Mutual Fund
Axis Gilt Fund,Axis Mutual Fund,DEBT,Gilt Fund,0.32,Axis Mutual Fund
Axis Global Equity Alpha Fund of Fund,Axis Mutual Fund,EQUITY,FOF Overseas,0.8,Axis Mutual Fund
Axis Global Innovation FoF,Axis Mutual Fund,EQUITY,FOF Overseas,0.8,Axis Mutual Fund
Axis Gold Fund,Axis Mutual Fund,OTHERS,GOLD PLAN,0.15,Axis Mutual Fund
Axis Gold and Silver Passive FoF,Axis Mutual Fund,OTHERS,GOLD PLAN,0.28,Axis Mutual Fund
Axis Greater China Equity FoF,Axis Mutual Fund,EQUITY,FOF Overseas,0.8,Axis Mutual Fund
Axis Income Plus Arbitrage Active FOF,Axis Mutual Fund,DEBT,FOF Domestic Debt,0.27,Axis Mutual Fund
Axis Income Plus Arbitrage Passive FoF,Axis Mutual Fund,DEBT,FOF Domestic Debt,0.24,Axis Mutual Fund
Axis India Manufacturing Fund,Axis Mutual Fund,EQUITY,Thematic Fund,0.93,Axis Mutual Fund
Axis Innovation Fund,Axis Mutual Fund,EQUITY,Thematic Fund,1.24,Axis Mutual Fund
Axis Large & Mid Cap Fund,Axis Mutual Fund,EQUITY,Large and Mid Cap Fu,0.86,Axis Mutual Fund
Axis Large Cap Fund,Axis Mutual Fund,EQUITY,Large Cap Fund,0.79,Axis Mutual Fund
Axis Liquid Fund,Axis Mutual Fund,DEBT,Liquid Fund,0.12,Axis Mutual Fund
Axis Long Duration Fund,Axis Mutual Fund,DEBT,Long Duration Fund,0.31,Axis Mutual Fund
Axis MidCap Fund,Axis Mutual Fund,EQUITY,Mid Cap Fund,0.83,Axis Mutual Fund
Axis Momentum Fund,Axis Mutual Fund,EQUITY,Thematic Fund,1.23,Axis Mutual Fund
Axis Money Market Fund,Axis Mutual Fund,DEBT,Money Market Fund,0.14,Axis Mutual Fund
Axis Multi Asset Allocation Fund,Axis Mutual Fund,HYBRID,Multi Asset Allocation,0.99,Axis Mutual Fund
Axis Multi Factor Passive FOF,Axis Mutual Fund,EQUITY,FOF Domestic Equity,0.08,Axis Mutual Fund
Axis Multi-Asset Active FoF,Axis Mutual Fund,HYBRID,FOF Domestic Hybrid,0.66,Axis Mutual Fund
Axis Multicap Fund,Axis Mutual Fund,EQUITY,Multi Cap Fund,0.93,Axis Mutual Fund
Axis NASDAQ 100 US Specific Equity Passive FOF,Axis Mutual Fund,EQUITY,FOF Overseas,0.27,Axis Mutual Fund
Axis Nifty 100 Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.46,Axis Mutual Fund
Axis Nifty 50 Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.18,Axis Mutual Fund
Axis Nifty 500 Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.57,Axis Mutual Fund
Axis Nifty AAA Bond Plus SDL Apr 2026 50-50 ETF FOF,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.11,Axis Mutual Fund
Axis Nifty Bank Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.57,Axis Mutual Fund
Axis Nifty IT Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.45,Axis Mutual Fund
Axis Nifty Midcap 50 Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.53,Axis Mutual Fund
Axis Nifty Next 50 Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.41,Axis Mutual Fund
Axis Nifty SDL September 2026 Debt Index Fund,Axis Mutual Fund,DEBT,Medium to Long Duration Fund,0.11,Axis Mutual Fund
Axis Nifty Smallcap 50 Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.52,Axis Mutual Fund
Axis Nifty500 Momentum 50 Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.57,Axis Mutual Fund
Axis Nifty500 Quality 50 Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.61,Axis Mutual Fund
Axis Nifty500 Value 50 Index Fund,Axis Mutual Fund,EQUITY,Index / ETF,0.57,Axis Mutual Fund
Axis Overnight Fund,Axis Mutual Fund,DEBT,Overnight Fund,0.04,Axis Mutual Fund
Axis Quant Fund,Axis Mutual Fund,EQUITY,Thematic Fund,1.31,Axis Mutual Fund
Axis Retirement Fund - Aggressive Plan,Axis Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.32,Axis Mutual Fund
Axis Retirement Fund - Conservative Plan,Axis Mutual Fund,DEBT,Conservative Hybrid Fund,1.12,Axis Mutual Fund
Axis Retirement Fund - Dynamic Plan,Axis Mutual Fund,HYBRID,Multi Asset Allocation,1.26,Axis Mutual Fund
Axis Services Opportunities Fund,Axis Mutual Fund,EQUITY,Thematic Fund,1.11,Axis Mutual Fund
Axis Short Duration Fund,Axis Mutual Fund,DEBT,Short Duration Fund,0.44,Axis Mutual Fund
Axis Silver FoF,Axis Mutual Fund,OTHERS,Silver Plan,0.4,Axis Mutual Fund
Axis Small Cap Fund,Axis Mutual Fund,EQUITY,Small Cap Fund,0.83,Axis Mutual Fund
Axis Strategic Bond Fund,Axis Mutual Fund,DEBT,Medium Duration Fund,0.58,Axis Mutual Fund
Axis Treasury Advantage Fund,Axis Mutual Fund,DEBT,Low Duration Fund,0.24,Axis Mutual Fund
Axis US Specific Treasury Dynamic Debt Passive ETF Fund of FundoF,Axis Mutual Fund,DEBT,DEBT/OTHER ETF,0.04,Axis Mutual Fund
Axis Ultra Short Duration Fund,Axis Mutual Fund,DEBT,Ultra Short Duration Fund,0.65,Axis Mutual Fund
Axis Value Fund,Axis Mutual Fund,EQUITY,Value Fund,1.31,Axis Mutual Fund
Bajaj Finserv Arbitrage Fund,Bajaj Finserv Mutual Fund,DEBT,Arbitrage Fund,0.4,Bajaj Finserv Mutual Fund
Bajaj Finserv Balanced Advantage Fund,Bajaj Finserv Mutual Fund,HYBRID,Balanced Advantage Fund,1.25,Bajaj Finserv Mutual Fund
Bajaj Finserv Banking and Financial Services Fund,Bajaj Finserv Mutual Fund,EQUITY,Sectoral Fund,1.64,Bajaj Finserv Mutual Fund
Bajaj Finserv Banking and PSU Fund,Bajaj Finserv Mutual Fund,DEBT,Banking and PSU Debt Fund,0.37,Bajaj Finserv Mutual Fund
Bajaj Finserv Consumption Fund,Bajaj Finserv Mutual Fund,EQUITY,Thematic Fund,1.62,Bajaj Finserv Mutual Fund
Bajaj Finserv ELSS Tax Saver Fund,Bajaj Finserv Mutual Fund,EQUITY,ELSS,1.25,Bajaj Finserv Mutual Fund
Bajaj Finserv Equity Savings Fund,Bajaj Finserv Mutual Fund,HYBRID,Equity Savings Fund,0.66,Bajaj Finserv Mutual Fund
Bajaj Finserv Flexi Cap Fund,Bajaj Finserv Mutual Fund,EQUITY,Flexi Cap Fund,1.09,Bajaj Finserv Mutual Fund
Bajaj Finserv Gilt Fund,Bajaj Finserv Mutual Fund,DEBT,Gilt Fund,0.4,Bajaj Finserv Mutual Fund
Bajaj Finserv Healthcare Fund,Bajaj Finserv Mutual Fund,EQUITY,Sectoral Fund,1.64,Bajaj Finserv Mutual Fund
Bajaj Finserv Large Cap Fund,Bajaj Finserv Mutual Fund,EQUITY,Large Cap Fund,1.29,Bajaj Finserv Mutual Fund
Bajaj Finserv Large and Mid Cap Fund,Bajaj Finserv Mutual Fund,EQUITY,Large and Mid Cap Fu,1.3,Bajaj Finserv Mutual Fund
